Store,EmployeeID,TimeCard,EmployeeName,EmployeeExtRef,Description,ShortDescription,ExternalReference,Minor,PayRate,RateType,RateTimeFrame,RegularHours,OvertimeHours,TotalHours,BreakTime,BeginDate,EndDate,RegPay,OverPay,TotalPay
Store A,101,12345,John Doe,JD001,Cashier,Part-time Cashier,EXTR-001,No,10,Hourly,Weekly,61,11,72,0.5,1/1/2023,1/16/2023,610,165,775
Store A,101,12345,John Doe,JD001,Cashier,Part-time Cashier,EXTR-001,No,10,Hourly,Weekly,64,8,72,0.5,1/16/2023,1/31/2023,640,120,760
Store A,101,12345,John Doe,JD001,Cashier,Part-time Cashier,EXTR-001,No,10,Hourly,Weekly,56,16,72,0.5,2/1/2023,2/16/2023,560,240,800
Store A,102,12346,Jane Smith,JS001,Sales Associate,PT Sales,EXTR-002,No,12,Hourly,Weekly,64,8,72,0.5,1/1/2023,1/16/2023,768,144,912
Store A,102,12346,Jane Smith,JS001,Sales Associate,PT Sales,EXTR-002,No,12,Hourly,Weekly,67,5,72,0.5,1/16/2023,1/31/2023,804,90,894
Store A,102,12346,Jane Smith,JS001,Sales Associate,PT Sales,EXTR-002,No,12,Hourly,Weekly,58,14,72,0.5,2/1/2023,2/16/2023,696,252,948
Store A,103,12347,Mark Johnson,MJ002,Stock Clerk,Part-time Stock Clerk,EXTR-003,No,9,Hourly,Weekly,58,14,72,0.5,1/1/2023,1/16/2023,522,189,711
Store A,103,12347,Mark Johnson,MJ002,Stock Clerk,Part-time Stock Clerk,EXTR-003,No,9,Hourly,Weekly,57,17,74,0.5,1/16/2023,1/31/2023,513,229.5,742.5
Store A,103,12347,Mark Johnson,MJ002,Stock Clerk,Part-time Stock Clerk,EXTR-003,No,9,Hourly,Weekly,55,19,74,0.5,2/1/2023,2/16/2023,495,256.5,751.5
Store A,104,12348,Lisa Anderson,LA001,Manager,Store Manager,EXTR-004,No,20,Salary,Monthly,80,0,80,NA,1/1/2023,1/16/2023,1600,0,1600
Store A,104,12348,Lisa Anderson,LA001,Manager,Store Manager,EXTR-004,No,20,Salary,Monthly,80,0,80,NA,2/1/2023,2/16/2023,1600,0,1600
Store A,104,12348,Lisa Anderson,LA001,Manager,Store Manager,EXTR-004,No,20,Salary,Monthly,80,0,80,NA,1/16/2023,1/31/2023,1600,0,1600
Store A,105,12349,Sarah Davis,SD001,Cashier,Part-time Cashier,EXTR-005,Yes,11,Hourly,Weekly,50,14,64,0.5,1/1/2023,1/16/2023,550,231,781
Store A,105,12349,Sarah Davis,SD001,Cashier,Part-time Cashier,EXTR-005,Yes,11,Hourly,Weekly,59,13,72,0.5,1/16/2023,1/31/2023,649,214.5,863.5
