"Store","EmployeeID","TimeCard","EmployeeName","EmployeeExtRef","Description","ShortDescription","ExternalReference","Minor","PayRate","RateType","RateTimeFrame","RegularHours","OvertimeHours","TotalHours","BreakTime","BeginDate","EndDate"
"Store A",101,12345,"John Doe","JD001","Cashier","Part-time Cashier","EXTR-001","No",10,"Hourly","Hourly",61,11,72,0.5,2023-01-01,2023-01-16
"Store A",101,12345,"John Doe","JD001","Cashier","Part-time Cashier","EXTR-001","No",10,"Hourly","Hourly",64,8,72,0.5,2023-01-16,2023-01-31
"Store A",101,12345,"John Doe","JD001","Cashier","Part-time Cashier","EXTR-001","No",10,"Hourly","Hourly",56,16,72,0.5,2023-02-01,2023-02-16
"Store A",102,12346,"Jane Smith","JS001","Sales Associate","PT Sales","EXTR-002","No",12,"Hourly","Hourly",64,8,72,0.5,2023-01-01,2023-01-16
"Store A",102,12346,"Jane Smith","JS001","Sales Associate","PT Sales","EXTR-002","No",12,"Hourly","Hourly",67,5,72,0.5,2023-01-16,2023-01-31
"Store A",102,12346,"Jane Smith","JS001","Sales Associate","PT Sales","EXTR-002","No",12,"Hourly","Hourly",58,14,72,0.5,2023-02-01,2023-02-16
"Store A",103,12347,"Mark Johnson","MJ002","Stock Clerk","Part-time Stock Clerk","EXTR-003","No",9,"Hourly","Hourly",58,14,72,0.5,2023-01-01,2023-01-16
"Store A",103,12347,"Mark Johnson","MJ002","Stock Clerk","Part-time Stock Clerk","EXTR-003","No",9,"Hourly","Hourly",57,17,74,0.5,2023-01-16,2023-01-31
"Store A",103,12347,"Mark Johnson","MJ002","Stock Clerk","Part-time Stock Clerk","EXTR-003","No",9,"Hourly","Hourly",55,19,74,0.5,2023-02-01,2023-02-16
"Store A",104,12348,"Lisa Anderson","LA001","Manager","Store Manager","EXTR-004","No",20,"Salary","Salary",80,0,80,NA,2023-01-01,2023-01-16
"Store A",104,12348,"Lisa Anderson","LA001","Manager","Store Manager","EXTR-004","No",20,"Salary","Salary",80,0,80,NA,2023-02-01,2023-02-16
"Store A",104,12348,"Lisa Anderson","LA001","Manager","Store Manager","EXTR-004","No",20,"Salary","Salary",80,0,80,NA,2023-01-16,2023-01-31
"Store A",105,12349,"Sarah Davis","SD001","Cashier","Part-time Cashier","EXTR-005","Yes",11,"Hourly","Hourly",50,14,64,0.5,2023-01-01,2023-01-16
"Store A",105,12349,"Sarah Davis","SD001","Cashier","Part-time Cashier","EXTR-005","Yes",11,"Hourly","Hourly",59,13,72,0.5,2023-01-16,2023-01-31
"Store A",105,12349,"Sarah Davis","SD001","Cashier","Part-time Cashier","EXTR-005","Yes",11,"Hourly","Hourly",56,16,72,0.5,2023-02-01,2023-02-16
"Store B",201,12350,"Michael Johnson","MJ003","Manager","Store Manager","EXTR-006","No",20,"Salary","Salary",80,0,80,NA,2023-01-01,2023-01-16
"Store B",201,12350,"Michael Johnson","MJ003","Manager","Store Manager","EXTR-006","No",20,"Salary","Salary",80,0,80,NA,2023-02-01,2023-02-16
"Store B",201,12350,"Michael Johnson","MJ003","Manager","Store Manager","EXTR-006","No",20,"Salary","Salary",80,0,80,NA,2023-01-16,2023-01-31
"Store B",202,12351,"Emma Wilson","EW001","Cashier","Part-time Cashier","EXTR-007","No",11,"Hourly","Hourly",50,14,64,0.5,2023-01-01,2023-01-16
"Store B",202,12351,"Emma Wilson","EW001","Cashier","Part-time Cashier","EXTR-007","No",11,"Hourly","Hourly",59,13,72,0.5,2023-01-16,2023-01-31
"Store B",202,12351,"Emma Wilson","EW001","Cashier","Part-time Cashier","EXTR-007","No",11,"Hourly","Hourly",56,16,72,0.5,2023-02-01,2023-02-16
"Store B",203,12352,"James Smith","JS002","Sales Associate","PT Sales","EXTR-008","No",12,"Hourly","Hourly",59,13,72,0.5,2023-01-01,2023-01-16
"Store B",203,12352,"James Smith","JS002","Sales Associate","PT Sales","EXTR-008","No",12,"Hourly","Hourly",62,10,72,0.5,2023-01-16,2023-01-31
"Store B",203,12352,"James Smith","JS002","Sales Associate","PT Sales","EXTR-008","No",12,"Hourly","Hourly",60,12,72,0.5,2023-02-01,2023-02-16
